Smiles,IC50,pIC50
c1cn2cc(-c3ccc4cn[nH]c4n3)nc(Nc3ccc(N4CCN(C5COC5)CC4)cc3)c2n1,6.7,8.173925197299173
c1cn2cc(-c3cnc4cn[nH]c4n3)nc(Nc3ccc(N4CCN(C5COC5)CC4)cc3)c2n1,3.2,8.494850021680094
c1cn2cc(-c3ccc4cc[nH]c4n3)nc(Nc3ccc(N4CCN(C5COC5)CC4)cc3)c2n1,11.3,7.94692155651658
c1cn2cc(-c3ccc4c(c3)NCCO4)nc(Nc3ccc(N4CCN(C5COC5)CC4)cc3)c2n1,21.5,7.667561540084395
c1cn2cc(-c3ccc4c(n3)NCCO4)nc(Nc3ccc(N4CCN(C5COC5)CC4)cc3)c2n1,44.1,7.355561410532162
COc1ccc2c(c1)c(/C=C1\C(=O)Nc3ccc(S(N)(=O)=O)cc31)cn2CCCC(N)=O,12.0,7.920818753952375
CC(C)c1cccc(Nc2cc(N[C@@H]3CS(=O)(=O)CC[C@@H]3N)cnc2C(N)=O)n1,2.0,8.698970004336019
Cc1ccc(Nc2nc(N[C@@H]3CCOC[C@@H]3N)ncc2C(N)=O)cc1,31.62,7.50003813440381
Cc1cccc(Nc2nc(N[C@@H]3CCCNC3)ncc2C(N)=O)c1,125.89,6.900008766455316
Cc1cccc(Nc2nc(N[C@H]3CCNC3)ncc2C(N)=O)c1,398.11,6.399996913372259
Cc1cccc(Nc2nc(NC[C@@H]3CCCN3)ncc2C(N)=O)c1,125.89,6.900008766455316
Cc1cccc(Nc2nc(N[C@@H]3CC(F)(F)CC[C@@H]3N)ncc2C(N)=O)c1,3.981,8.400007822415901
COc1ccc(Nc2nc(-c3cccc(C(=O)Nc4ccc(-c5ncc[nH]5)cc4)c3)cn3ccnc23)cc1OC,16.5,7.782516055786093
COc1ccc(Nc2nc(-c3ccc(C(N)=O)c(C)c3)cn3ccnc23)cc1OC,64.1,7.193141970481182
CN(CCO)c1ccc(Nc2nc(-c3ccc4cn[nH]c4c3)cn3ccnc23)cc1,7.6,8.119186407719209
CN(C)CCNC(=O)c1cc2cc(Nc3nccc(-c4cn(C)cn4)n3)cc(Cl)c2[nH]1,5.0,8.301029995663981
O=C(Nc1cc2cccnc2cc1OC1CCC(O)CC1)c1cnn2cccnc12,103.0,6.987162775294828
CCn1ncc2c(C)cc(Nc3nc(N[C@@H]4CCCC[C@@H]4N)nnc3C(N)=O)cc21,0.39,9.4089353929735
Cn1ccc(-n2ccc3c(Nc4nc(NCC5(N)CCC5)nnc4C(N)=O)cccc32)n1,0.85,9.070581074285707
Cn1cnc2cc(-c3ccc(C4CCC(=O)N4)cc3)nc(N[C@@H]3CCOC3)c2c1=O,282.0,6.549750891680639
